datetime,x,y,z,vx,vy,vz,identifier
A.D. 2024-Oct-02 00:00:00.0000,-2.922036202113838,-1.132957901940776,0.3750266888160659,0.001735185661519795,-0.008416447377769573,0.001839333959073082,3
A.D. 2024-Oct-02 01:00:00.0000,-2.921963878719816,-1.133308577959807,0.3751033246465979,0.001736337234330678,-0.008416001517488576,0.001839185903027629,3
A.D. 2024-Oct-02 02:00:00.0000,-2.921891507345743,-1.133659235399043,0.3751799543076973,0.001737488704039826,-0.008415555547691715,0.001839037826312825,3
A.D. 2024-Oct-02 03:00:00.0000,-2.921819087995912,-1.134009874253928,0.3752565777985037,0.001738640070650243,-0.00841510946839719,0.001838889728932682,3
A.D. 2024-Oct-02 04:00:00.0000,-2.921746620674621,-1.13436049451989,0.3753331951181549,0.001739791334164898,-0.008414663279623211,0.001838741610891213,3
A.D. 2024-Oct-02 05:00:00.0000,-2.921674105386164,-1.134711096192374,0.3754098062657906,0.001740942494586795,-0.008414216981387968,0.001838593472192427,3
A.D. 2024-Oct-02 06:00:00.0000,-2.921601542134836,-1.135061679266821,0.375486411240551,0.001742093551918942,-0.008413770573709652,0.001838445312840334,3
A.D. 2024-Oct-02 07:00:00.0000,-2.921528930924935,-1.135412243738664,0.3755630100415741,0.00174324450616431,-0.008413324056606452,0.001838297132838943,3
A.D. 2024-Oct-02 08:00:00.0000,-2.921456271760755,-1.135762789603349,0.3756396026680004,0.001744395357325905,-0.008412877430096546,0.001838148932192261,3
A.D. 2024-Oct-02 09:00:00.0000,-2.92138356464659,-1.136113316856321,0.3757161891189704,0.001745546105406738,-0.008412430694198107,0.00183800071090429,3
A.D. 2024-Oct-02 10:00:00.0000,-2.921310809586736,-1.136463825493014,0.3757927693936227,0.001746696750409781,-0.008411983848929314,0.00183785246897904,3
A.D. 2024-Oct-02 11:00:00.0000,-2.921238006585487,-1.136814315508877,0.3758693434910981,0.001747847292338043,-0.008411536894308328,0.001837704206420513,3
A.D. 2024-Oct-02 12:00:00.0000,-2.921165155647139,-1.137164786899357,0.3759459114105382,0.001748997731194536,-0.008411089830353304,0.001837555923232708,3
