datetime,x,y,z,vx,vy,vz,identifier
A.D. 2024-Oct-02 00:00:00.0000,-2.200217339907223,0.8461311755477239,0.2420708130982864,-0.002998436051083657,-0.01074532765840338,0.000684767916773707,4
A.D. 2024-Oct-02 01:00:00.0000,-2.200342232155066,0.8456834370598745,0.2420993403994939,-0.002996391807903532,-0.01074611969598153,0.00068454253475957,4
A.D. 2024-Oct-02 02:00:00.0000,-2.200467039221421,0.8452356655782665,0.2421278583089808,-0.002994347339590594,-0.01074691135866812,0.0006843171141943867,4
A.D. 2024-Oct-02 03:00:00.0000,-2.200591761096907,0.8447878611185249,0.2421563668251413,-0.002992302646201742,-0.01074770264639199,0.000684091655082976,4
A.D. 2024-Oct-02 04:00:00.0000,-2.200716397772146,0.8443400236962767,0.2421848659463692,-0.002990257727793899,-0.01074849355908198,0.0006838661574301546,4
A.D. 2024-Oct-02 05:00:00.0000,-2.200840949237765,0.8438921533271453,0.2422133556710586,-0.002988212584423975,-0.01074928409666695,0.0006836406212407448,4
A.D. 2024-Oct-02 06:00:00.0000,-2.200965415484391,0.8434442500267637,0.242241835997604,-0.002986167216148936,-0.01075007425907575,0.0006834150465195692,4
A.D. 2024-Oct-02 07:00:00.0000,-2.201089796502654,0.8429963138107683,0.2422703069244,-0.002984121623025772,-0.01075086404623722,0.0006831894332714557,4
A.D. 2024-Oct-02 08:00:00.0000,-2.201214092283188,0.8425483446947908,0.2422987684498416,-0.00298207580511146,-0.01075165345808025,0.0006829637815012343,4
A.D. 2024-Oct-02 09:00:00.0000,-2.201338302816626,0.8421003426944735,0.2423272205723236,-0.002980029762463037,-0.01075244249453366,0.0006827380912137368,4
A.D. 2024-Oct-02 10:00:00.0000,-2.201462428093606,0.8416523078254617,0.2423556632902411,-0.002977983495137558,-0.01075323115552633,0.0006825123624138008,4
A.D. 2024-Oct-02 11:00:00.0000,-2.201586468104768,0.8412042401033962,0.2423840966019899,-0.00297593700319207,-0.01075401944098712,0.0006822865951062623,4
A.D. 2024-Oct-02 12:00:00.0000,-2.201710422840753,0.840756139543928,0.2424125205059654,-0.002973890286683674,-0.0107548073508449,0.0006820607892959619,4
A.D. 2024-Oct-02 13:00:00.0000,-2.201834292292206,0.8403080061627111,0.2424409350005631,-0.002971843345669497,-0.01075559488502852,0.0006818349449877447,4
A.D. 2024-Oct-02 14:00:00.0000,-2.201958076449775,0.839859839975395,0.2424693400841796,-0.002969796180206653,-0.01075638204346688,0.0006816090621864572,4
A.D. 2024-Oct-02 15:00:00.0000,-2.202081775304108,0.8394116409976402,0.2424977357552109,-0.00296774879035231,-0.01075716882608883,0.0006813831408969498,4
A.D. 2024-Oct-02 16:00:00.0000,-2.202205388845855,0.8389634092451093,0.2425261220120531,-0.002965701176163662,-0.01075795523282326,0.0006811571811240744,4
A.D. 2024-Oct-02 17:00:00.0000,-2.202328917065672,0.8385151447334608,0.2425544988531033,-0.002963653337697891,-0.01075874126359903,0.0006809311828726862,4
A.D. 2024-Oct-02 18:00:00.0000,-2.202452359954216,0.8380668474783637,0.2425828662767583,-0.002961605275012236,-0.01075952691834504,0.0006807051461476418,4
A.D. 2024-Oct-02 19:00:00.0000,-2.202575717502143,0.8376185174954899,0.2426112242814147,-0.002959556988163956,-0.01076031219699017,0.0006804790709538042,4
A.D. 2024-Oct-02 20:00:00.0000,-2.202698989700117,0.8371701548005065,0.2426395728654702,-0.002957508477210302,-0.01076109709946329,0.0006802529572960354,4
A.D. 2024-Oct-02 21:00:00.0000,-2.2028221765388,0.8367217594090918,0.242667912027322,-0.002955459742208578,-0.0107618816256933,0.0006800268051792048,4
A.D. 2024-Oct-02 22:00:00.0000,-2.202945278008856,0.8362733313369262,0.2426962417653676,-0.002953410783216115,-0.01076266577560909,0.000679800614608178,4
A.D. 2024-Oct-02 23:00:00.0000,-2.203068294100957,0.835824870599686,0.2427245620780052,-0.002951361600290231,-0.01076344954913955,0.0006795743855878302,4
A.D. 2024-Oct-03 00:00:00.0000,-2.203191224805772,0.8353763772130581,0.2427528729636328,-0.002949312193488298,-0.01076423294621357,0.000679348118123034,4
A.D. 2024-Oct-03 01:00:00.0000,-2.203314070113972,0.8349278511927322,0.2427811744206484,-0.002947262562867713,-0.01076501596676006,0.0006791218122186698,4
A.D. 2024-Oct-03 02:00:00.0000,-2.203436830016236,0.8344792925543929,0.2428094664474506,-0.002945212708485863,-0.01076579861070791,0.000678895467879616,4
A.D. 2024-Oct-03 03:00:00.0000,-2.20355950450324,0.8340307013137364,0.242837749042438,-0.00294316263040019,-0.01076658087798603,0.0006786690851107569,4
A.D. 2024-Oct-03 04:00:00.0000,-2.203682093565663,0.8335820774864606,0.2428660222040094,-0.002941112328668157,-0.01076736276852332,0.0006784426639169807,4
A.D. 2024-Oct-03 05:00:00.0000,-2.20380459719419,0.8331334210882602,0.242894285930564,-0.002939061803347218,-0.01076814428224869,0.0006782162043031733,4
A.D. 2024-Oct-03 06:00:00.0000,-2.203927015379504,0.8326847321348394,0.2429225402205011,-0.002937011054494885,-0.01076892541909105,0.0006779897062742295,4
A.D. 2024-Oct-03 07:00:00.0000,-2.204049348112293,0.8322360106419056,0.2429507850722199,-0.002934960082168689,-0.01076970617897932,0.0006777631698350433,4
A.D. 2024-Oct-03 08:00:00.0000,-2.204171595383248,0.8317872566251617,0.2429790204841205,-0.002932908886426153,-0.0107704865618424,0.0006775365949905123,4
A.D. 2024-Oct-03 09:00:00.0000,-2.20429375718306,0.8313384701003214,0.2430072464546025,-0.002930857467324854,-0.01077126656760922,0.0006773099817455363,4
A.D. 2024-Oct-03 10:00:00.0000,-2.204415833502424,0.8308896510831002,0.243035462982066,-0.002928805824922394,-0.01077204619620869,0.00067708333010502,4
A.D. 2024-Oct-03 11:00:00.0000,-2.204537824332037,0.8304407995892108,0.2430636700649114,-0.002926753959276362,-0.01077282544756974,0.0006768566400738691,4
A.D. 2024-Oct-03 12:00:00.0000,-2.204659729662598,0.8299919156343749,0.2430918677015391,-0.002924701870444405,-0.01077360432162131,0.0006766299116569933,4
A.D. 2024-Oct-03 13:00:00.0000,-2.204781549484808,0.8295429992343178,0.2431200558903497,-0.002922649558484192,-0.0107743828182923,0.000676403144859304,4
A.D. 2024-Oct-03 14:00:00.0000,-2.204903283789373,0.8290940504047604,0.2431482346297444,-0.00292059702345338,-0.01077516093751166,0.000676176339685715,4
A.D. 2024-Oct-03 15:00:00.0000,-2.205024932566999,0.8286450691614335,0.243176403918124,-0.002918544265409684,-0.01077593867920832,0.0006759494961411442,4
A.D. 2024-Oct-03 16:00:00.0000,-2.205146495808394,0.8281960555200716,0.2432045637538899,-0.002916491284410842,-0.01077671604331121,0.0006757226142305165,4
