datetime,x,y,z,vx,vy,vz,identifier
A.D. 2024-Oct-02 00:00:00.0000,-2.181419674238223,-0.4157231205896786,0.1574852689830306,0.0007875989722899978,-0.01227181595139162,0.0008543194887502851,5
A.D. 2024-Oct-02 01:00:00.0000,-2.18138680648941,-0.4162344365813277,0.1575208619309216,0.0007900529284758457,-0.01227135155858264,0.0008541420059411071,5
A.D. 2024-Oct-02 02:00:00.0000,-2.181353836497706,-0.4167457332121187,0.1575564474831856,0.0007925066310324731,-0.0122708866302231,0.0008539644986593326,5
A.D. 2024-Oct-02 03:00:00.0000,-2.181320764273682,-0.4172570104597451,0.1575920256388036,0.0007949600798350978,-0.01227042116643974,0.0008537869669215566,5
A.D. 2024-Oct-02 04:00:00.0000,-2.181287589827913,-0.4177682683018892,0.1576275963967564,0.0007974132747589245,-0.01226995516735935,0.0008536094107443746,5
A.D. 2024-Oct-02 05:00:00.0000,-2.181254313170979,-0.4182795067162551,0.1576631597560262,0.0007998662156793068,-0.01226948863310872,0.0008534318301443768,5
A.D. 2024-Oct-02 06:00:00.0000,-2.181220934313469,-0.4187907256805523,0.1576987157155962,0.000802318902471666,-0.01226902156381468,0.0008532542251381517,5
A.D. 2024-Oct-02 07:00:00.0000,-2.181187453265971,-0.4193019251724788,0.1577342642744491,0.0008047713350114109,-0.01226855395960408,0.0008530765957422917,5
A.D. 2024-Oct-02 08:00:00.0000,-2.181153870039084,-0.4198131051697546,0.1577698054315693,0.0008072235131740988,-0.0122680858206038,0.0008528989419733777,5
A.D. 2024-Oct-02 09:00:00.0000,-2.181120184643409,-0.4203242656501051,0.1578053391859421,0.0008096754368353551,-0.01226761714694074,0.0008527212638479919,5
A.D. 2024-Oct-02 10:00:00.0000,-2.181086397089551,-0.4208354065912441,0.1578408655365521,0.0008121271058707925,-0.01226714793874184,0.0008525435613827222,5
A.D. 2024-Oct-02 11:00:00.0000,-2.181052507388125,-0.4213465279709075,0.1578763844823859,0.0008145785201561721,-0.01226667819613404,0.0008523658345941425,5
A.D. 2024-Oct-02 12:00:00.0000,-2.181018515549745,-0.4218576297668366,0.1579118960224308,0.000817029679567323,-0.01226620791924432,0.0008521880834988292,5
A.D. 2024-Oct-02 13:00:00.0000,-2.180984421585035,-0.4223687119567609,0.1579474001556736,0.0008194805839800618,-0.0122657371081997,0.000852010308113362,5
A.D. 2024-Oct-02 14:00:00.0000,-2.180950225504623,-0.4228797745184323,0.1579828968811028,0.0008219312332703535,-0.0122652657631272,0.0008518325084543106,5
