datetime,x,y,z,vx,vy,vz,identifier
A.D. 2024-Oct-02 00:00:00.0000,1.49082325069919,-2.517377859336791,-0.3551479935309341,0.008380483946699597,0.004667571000939411,-0.001394952172113665,1
A.D. 2024-Oct-02 01:00:00.0000,1.491172422497731,-2.51718335197696,-0.3552061129698795,0.008379762357574674,0.004668782251521152,-0.001394780893131494,1
A.D. 2024-Oct-02 02:00:00.0000,1.491521564226838,-2.51698879415078,-0.3552642252716837,0.008379040613717347,0.004669993385738054,-0.001394609589325667,1
A.D. 2024-Oct-02 03:00:00.0000,1.491870675880061,-2.516794185863098,-0.355322330435312,0.008378318715145132,0.004671204403574734,-0.001394438260699896,1
A.D. 2024-Oct-02 04:00:00.0000,1.492219757450951,-2.516599527118766,-0.3553804284597302,0.00837759666187554,0.004672415305015803,-0.001394266907257895,1
A.D. 2024-Oct-02 05:00:00.0000,1.492568808933068,-2.516404817922631,-0.3554385193439055,0.008376874453926077,0.004673626090045902,-0.001394095529003376,1
A.D. 2024-Oct-02 06:00:00.0000,1.492917830319965,-2.516210058279545,-0.3554966030868029,0.008376152091314254,0.004674836758649646,-0.001393924125940047,1
A.D. 2024-Oct-02 07:00:00.0000,1.493266821605196,-2.516015248194361,-0.3555546796873894,0.00837542957405759,0.004676047310811659,-0.001393752698071624,1
A.D. 2024-Oct-02 08:00:00.0000,1.493615782782321,-2.515820387671929,-0.355612749144631,0.00837470690217358,0.004677257746516589,-0.001393581245401817,1
A.D. 2024-Oct-02 09:00:00.0000,1.493964713844897,-2.515625476717102,-0.3556708114574951,0.008373984075679745,0.004678468065749055,-0.001393409767934338,1
A.D. 2024-Oct-02 10:00:00.0000,1.49431361478648,-2.515430515334735,-0.3557288666249475,0.008373261094593597,0.004679678268493694,-0.001393238265672899,1
A.D. 2024-Oct-02 11:00:00.0000,1.494662485600633,-2.515235503529679,-0.3557869146459569,0.00837253795893264,0.00468088835473515,-0.001393066738621209,1
A.D. 2024-Oct-02 12:00:00.0000,1.495011326280912,-2.515040441306791,-0.3558449555194888,0.008371814668714384,0.004682098324458063,-0.001392895186782982,1
A.D. 2024-Oct-02 13:00:00.0000,1.495360136820878,-2.514845328670927,-0.3559029892445114,0.00837109122395635,0.004683308177647068,-0.00139272361016193,1
A.D. 2024-Oct-02 14:00:00.0000,1.495708917214096,-2.514650165626939,-0.3559610158199915,0.008370367624676037,0.004684517914286822,-0.001392552008761762,1
A.D. 2024-Oct-02 15:00:00.0000,1.496057667454123,-2.514454952179687,-0.3560190352448974,0.00836964387089096,0.004685727534361967,-0.00139238038258619,1
A.D. 2024-Oct-02 16:00:00.0000,1.496406387534523,-2.514259688334029,-0.3560770475181959,0.008368919962618637,0.004686937037857146,-0.001392208731638927,1
A.D. 2024-Oct-02 17:00:00.0000,1.496755077448863,-2.514064374094819,-0.3561350526388565,0.008368195899876564,0.004688146424757027,-0.001392037055923682,1
A.D. 2024-Oct-02 18:00:00.0000,1.497103737190703,-2.513869009466918,-0.356193050605846,0.008367471682682263,0.004689355695046256,-0.001391865355444165,1
A.D. 2024-Oct-02 19:00:00.0000,1.497452366753607,-2.513673594455185,-0.3562510414181328,0.008366747311053245,0.004690564848709485,-0.001391693630204091,1
A.D. 2024-Oct-02 20:00:00.0000,1.497800966131145,-2.513478129064479,-0.3563090250746859,0.008366022785007013,0.004691773885731386,-0.001391521880207167,1
A.D. 2024-Oct-02 21:00:00.0000,1.498149535316881,-2.513282613299661,-0.3563670015744732,0.008365298104561086,0.004692982806096617,-0.001391350105457106,1
A.D. 2024-Oct-02 22:00:00.0000,1.498498074304381,-2.513087047165592,-0.3564249709164634,0.008364573269732974,0.004694191609789833,-0.001391178305957618,1
A.D. 2024-Oct-02 23:00:00.0000,1.498846583087214,-2.512891430667133,-0.3564829330996259,0.008363848280540181,0.004695400296795716,-0.001391006481712414,1
A.D. 2024-Oct-03 00:00:00.0000,1.49919506165895,-2.512695763809146,-0.3565408881229293,0.008363123137000227,0.004696608867098929,-0.001390834632725204,1
A.D. 2024-Oct-03 01:00:00.0000,1.499543510013154,-2.512500046596496,-0.3565988359853428,0.008362397839130621,0.004697817320684135,-0.0013906627589997,1
A.D. 2024-Oct-03 02:00:00.0000,1.4998919281434,-2.512304279034044,-0.3566567766858356,0.008361672386948868,0.004699025657536026,-0.001390490860539611,1
A.D. 2024-Oct-03 03:00:00.0000,1.500240316043258,-2.512108461126656,-0.3567147102233775,0.008360946780472486,0.004700233877639266,-0.001390318937348648,1
A.D. 2024-Oct-03 04:00:00.0000,1.500588673706296,-2.511912592879196,-0.3567726365969378,0.008360221019718988,0.004701441980978531,-0.001390146989430522,1
A.D. 2024-Oct-03 05:00:00.0000,1.500937001126091,-2.511716674296529,-0.3568305558054866,0.008359495104705877,0.004702649967538515,-0.001389975016788942,1
A.D. 2024-Oct-03 06:00:00.0000,1.501285298296214,-2.511520705383522,-0.3568884678479942,0.00835876903545067,0.004703857837303895,-0.001389803019427619,1
A.D. 2024-Oct-03 07:00:00.0000,1.501633565210236,-2.511324686145043,-0.3569463727234287,0.008358042811970882,0.004705065590259352,-0.001389630997350265,1
A.D. 2024-Oct-03 08:00:00.0000,1.501981801861736,-2.511128616585957,-0.3570042704307628,0.008357316434284015,0.004706273226389585,-0.001389458950560586,1
A.D. 2024-Oct-03 09:00:00.0000,1.502330008244286,-2.510932496711133,-0.3570621609689658,0.008356589902407585,0.004707480745679281,-0.001389286879062295,1
A.D. 2024-Oct-03 10:00:00.0000,1.502678184351461,-2.510736326525441,-0.3571200443370082,0.008355863216359111,0.004708688148113126,-0.001389114782859102,1
A.D. 2024-Oct-03 11:00:00.0000,1.503026330176841,-2.510540106033747,-0.3571779205338612,0.008355136376156093,0.004709895433675827,-0.001388942661954715,1
A.D. 2024-Oct-03 12:00:00.0000,1.503374445714001,-2.510343835240923,-0.3572357895584953,0.008354409381816048,0.004711102602352079,-0.001388770516352846,1
A.D. 2024-Oct-03 13:00:00.0000,1.503722530956518,-2.510147514151842,-0.3572936514098808,0.008353682233356488,0.004712309654126573,-0.001388598346057204,1
A.D. 2024-Oct-03 14:00:00.0000,1.504070585897973,-2.50995114277137,-0.3573515060869902,0.008352954930794923,0.004713516588984027,-0.001388426151071498,1
A.D. 2024-Oct-03 15:00:00.0000,1.504418610531945,-2.509754721104383,-0.3574093535887941,0.008352227474148866,0.004714723406909136,-0.001388253931399437,1
A.D. 2024-Oct-03 16:00:00.0000,1.504766604852012,-2.509558249155753,-0.3574671939142638,0.008351499863435832,0.004715930107886606,-0.001388081687044733,1
A.D. 2024-Oct-03 17:00:00.0000,1.505114568851758,-2.509361726930351,-0.3575250270623715,0.008350772098673326,0.004717136691901157,-0.001387909418011094,1
A.D. 2024-Oct-03 18:00:00.0000,1.505462502524763,-2.509165154433052,-0.3575828530320886,0.008350044179878863,0.004718343158937498,-0.001387737124302229,1
A.D. 2024-Oct-03 19:00:00.0000,1.505810405864608,-2.508968531668732,-0.357640671822387,0.008349316107069961,0.004719549508980334,-0.001387564805921849,1
A.D. 2024-Oct-03 20:00:00.0000,1.50615827886488,-2.508771858642262,-0.3576984834322398,0.00834858788026412,0.004720755742014399,-0.001387392462873662,1
A.D. 2024-Oct-03 21:00:00.0000,1.50650612151916,-2.508575135358521,-0.3577562878606177,0.00834785949947886,0.004721961858024401,-0.001387220095161377,1
A.D. 2024-Oct-03 22:00:00.0000,1.50685393382103,-2.508378361822386,-0.3578140851064938,0.008347130964731693,0.004723167856995059,-0.001387047702788705,1
A.D. 2024-Oct-03 23:00:00.0000,1.507201715764082,-2.508181538038731,-0.3578718751688409,0.008346402276040128,0.004724373738911111,-0.001386875285759352,1
A.D. 2024-Oct-04 00:00:00.0000,1.507549467341897,-2.507984664012435,-0.3579296580466316,0.008345673433421678,0.004725579503757274,-0.00138670284407703,1
A.D. 2024-Oct-04 01:00:00.0000,1.507897188548062,-2.507787739748378,-0.3579874337388381,0.008344944436893861,0.004726785151518273,-0.001386530377745447,1
A.D. 2024-Oct-04 02:00:00.0000,1.508244879376167,-2.507590765251436,-0.3580452022444348,0.00834421528647418,0.004727990682178852,-0.001386357886768311,1
A.D. 2024-Oct-04 03:00:00.0000,1.508592539819799,-2.507393740526489,-0.3581029635623936,0.008343485982180153,0.004729196095723739,-0.001386185371149331,1
A.D. 2024-Oct-04 04:00:00.0000,1.508940169872544,-2.507196665578419,-0.3581607176916883,0.008342756524029294,0.004730401392137663,-0.001386012830892217,1
